Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pet,Probability,Prediction
0,0.0,0,1,6,179,30,19,1,0,0,0.12246899458480752,0
1,0.0,0,0,6,361,28,27,0,1,4,0.8733647892014472,1
0,0.0,0,1,6,155,34,25,0,2,0,0.26625344402537965,0
0,0.0,0,1,6,179,40,22,1,2,0,0.19856972989115218,0
1,0.0,0,0,6,155,34,25,0,2,0,0.7208612143665559,1
1,0.0,0,0,6,225,28,24,0,1,2,0.7138174390776079,1
1,0.0,0,0,6,118,46,25,0,2,0,0.567672287855369,1
0,0.0,0,1,6,179,30,19,1,0,0,0.12246899458480752,0
0,0.0,0,1,6,118,37,28,0,0,0,0.13186993195486632,0
1,0.0,0,0,6,118,37,28,0,0,0,0.51947191647443,1
0,0.0,0,1,6,378,36,21,0,2,4,0.45649621810645175,0
0,0.0,1,0,6,118,50,31,0,1,0,0.638527559183155,1
0,0.0,1,0,6,233,31,21,1,1,8,0.3489511421027688,0
0,0.0,0,1,6,179,30,19,1,0,0,0.12246899458480752,0
0,0.0,0,0,6,235,48,33,0,1,5,0.08299352701915946,0
0,0.0,0,0,6,268,33,25,1,0,0,0.1660598655171749,0
0,0.0,1,0,6,118,50,31,0,1,0,0.638527559183155,1
1,0.0,0,0,6,179,30,19,1,0,0,0.49829954649179514,0
0,0.0,0,1,6,291,40,25,0,1,1,0.3891547048459069,0
1,0.0,0,0,7,179,30,19,1,0,0,0.4988843125505607,0
0,0.0,0,1,7,118,37,28,0,0,0,0.1321379414316923,0
0,0.0,0,1,7,233,31,21,1,1,8,0.05193861568642937,0
1,0.0,0,0,7,118,37,28,0,0,0,0.5200557735023791,1
1,0.0,0,0,7,118,37,28,0,0,0,0.5200557735023791,1
0,0.0,0,1,7,233,31,21,1,1,8,0.05193861568642937,0
0,0.0,0,1,7,235,43,38,0,1,0,0.5143722492274782,1
0,0.0,1,0,7,233,31,21,1,1,8,0.34948273249109996,0
1,0.0,0,0,7,228,58,22,0,2,1,0.633412570104091,1
0,0.0,0,1,7,118,37,28,0,0,0,0.1321379414316923,0
1,0.0,0,0,7,228,58,22,0,2,1,0.633412570104091,1
0,0.0,0,1,7,189,33,25,0,2,2,0.2436826901026198,0
0,0.0,0,1,7,118,37,28,0,0,0,0.1321379414316923,0
0,0.0,0,1,7,361,28,27,0,1,4,0.4927328256638911,0
0,0.0,0,1,7,225,28,24,0,1,2,0.25997160132043734,0
1,0.0,0,0,7,369,31,25,0,3,0,0.9668558205832312,1
1,0.0,0,0,7,289,33,30,0,2,1,0.9126760303336979,1
1,0.0,0,0,7,235,37,29,1,1,1,0.7498771686615042,1
0,0.0,0,0,7,118,40,34,0,1,8,0.019428809679914793,0
0,0.0,0,0,7,231,39,35,0,2,2,0.26287144339602864,0
0,0.0,0,0,7,179,53,25,0,1,1,0.06484649016369715,0
